id_comuna, id_region, nombre_comuna
159,9,Quirihue
160,9,Ránquil
161,9,Treguaco
162,9,Coihueco
163,9,Ñiquén
164,9,San Carlos
165,9,San Fabián
166,9,San Nicolás
167,10,Arauco
168,10,Cañete
169,10,Contulmo
170,10,Curanilahue
171,10,Lebu
172,10,Los Álamos
173,10,Tirúa
174,10,Alto Biobío
175,10,Antuco
176,10,Cabrero
177,10,Laja
178,10,Los Ángeles
179,10,Mulchén
180,10,Nacimiento
181,10,Negrete
182,10,Quilaco
183,10,Quilleco
184,10,San Rosendo
185,10,Santa Bárbara
186,10,Tucapel
187,10,Yumbel
188,10,Chiguayante
189,10,Concepción
190,10,Coronel
191,10,Florida
192,10,Hualpén
193,10,Hualqui
194,10,Lota
195,10,Penco
196,10,San Pedro de la Paz
197,10,Santa Juana
198,10,Talcahuano
199,10,Tomé
200,11,Carahue
201,11,Cholchol
202,11,Cunco
203,11,Curarrehue
204,11,Freire
205,11,Galvarino
206,11,Gorbea
207,11,Lautaro
208,11,Loncoche
209,11,Melipeuco
210,11,Nueva Imperial
211,11,Padre Las Casas
213,11,Pitrufquén
214,11,Pucón
215,11,Saavedra
216,11,Temuco
217,11,Teodoro Schmidt
218,11,Toltén
219,11,Vilcún
220,11,Villarrica
221,11,Angol
222,11,Collipulli
223,11,Curacautín
224,11,Ercilla
225,11,Lonquimay
226,11,Los Sauces
227,11,Lumaco
228,11,Purén
229,11,Renaico
230,11,Traiguén
231,11,Victoria
232,12,Futrono
233,12,La Unión
234,12,Lago Ranco
235,12,Río Bueno
236,12,Corral
237,12,Lanco
238,12,Los Lagos
239,12,Máfil
240,12,Mariquina
241,12,Paillaco
242,12,Panguipulli
243,12,Valdivia
244,13,Ancud
245,13,Castro
246,13,Chonchi
247,13,Curaco de Vélez
248,13,Dalcahue
249,13,Puqueldón
250,13,Queilén
251,13,Quellón
252,13,Quemchi
253,13,Quinchao
254,13,Calbuco
255,13,Cochamó
256,13,Fresia
257,13,Frutillar
258,13,Llanquihue
259,13,Los Muermos
260,13,Maullín
261,13,Puerto Montt
262,13,Puerto Varas
263,13,Osorno
264,13,Puerto Octay
265,13,Purranque
266,13,Puyehue
267,13,Río Negro
268,13,San Pablo
269,13,San Juan de la Costa
270,13,Chaitén
271,13,Futaleufú
272,13,Hualaihué
273,13,Palena
274,12,Aysén
275,12,Cisnes
276,12,Guaitecas
277,12,Cochrane
278,12,O'Higgins
279,12,Tortel
280,12,Coyhaique
281,12,Lago Verde
282,12,Chile Chico
283,12,Río Ibáñez
284,13,Antártica
285,13,Cabo de Hornos
286,13,Laguna Blanca
287,13,Punta Arenas
288,13,Río Verde
289,13,San Gregorio
290,13,Porvenir
291,13,Primavera
292,13,Timaukel
293,13,Natales
294,13,Torres del Paine
295,16,Alhué
296,16,Buin
297,16,Calera de Tango
298,16,Cerrillos
299,16,Cerro Navia
300,16,Colina
301,16,Conchalí
302,16,Curacaví
303,16,El Bosque
304,16,El Monte
305,16,Estación Central
306,16,Huechuraba
307,16,Independencia
308,16,Isla de Maipo
309,16,La Cisterna
310,16,La Florida
311,16,La Granja
312,16,La Pintana
313,16,La Reina
314,16,Lampa
315,16,Las Condes
316,16,Lo Barnechea
317,16,Lo Espejo
318,16,Lo Prado
319,16,Macul
320,16,Maipú
321,16,María Pinto
322,16,Melipilla
323,16,Padre Hurtado
324,16,Paine
325,16,Pedro Aguirre Cerda
326,16,Peñaflor
327,16,Peñalolén
328,16,Pirque
329,16,Providencia
330,16,Pudahuel
331,16,Puente Alto
332,16,Quilicura
333,16,Quinta Normal
334,16,Recoleta
335,16,Renca
336,16,San Bernardo
337,16,San Joaquín
338,16,San José de Maipo
339,16,San Miguel
340,16,San Pedro
341,16,San Ramón
342,16,Santiago
343,16,Talagante
344,16,Tiltil
345,16,Vitacura
346,16,Ñuñoa
